Week,Fertilizer added (cubic feet),Fertilizer Measured,"Mulch added 
(inches)",Mulch Measured,Rain,"Watering
(gallons)",Nutrition Lvl,Moisture,Temp,Weekly_Yield,Orchard,Location,Cost of Labor,Total Trees,Total Watered,Trees Planted,Total_Yield,"Material_Cost_Mulch 
(5*Total Trees*
mulch per tree)","Application_Cost_Mulch
(0.5 * Cost of Labor *total trees
 *Mulch Applied Boolean value)","Material_Cost_Fertilizer
(5*Total Trees*
Fertilizer per tree)","Application_Cost_Fert(1/8 hrs)
(0.125 * Cost of Labor *total trees
 *Fertilizer Applied Boolean value)","Cost_Water 
(0.10*Total Trees*
Gallons per tree)","Total_Yield_Revenue
($0.25 *total Yield)","Total Cost 
(Material Cost +Application Cost)","Total Profit in $
(Total Revenue- 
Total Cost)"
19,,0.00,,2.62,0.35,,75,72,76,88,Nancy Nursery,SF,20,170,100,0,14960,0,0,0,0,0,3740,0,3740
20,,0.00,,2.54,0.29,,72,70,78,82,Nancy Nursery,SF,20,195,100,25,15990,0,0,0,0,0,3997.5,0,3997.5
21,,0.00,,2.46,0.24,20,69,67,79,83,Nancy Nursery,SF,20,195,120,0,16185,0,0,0,0,390,4046.25,390,3656.25
22,,0.00,,2.38,0.19,,65,70,81,86,Nancy Nursery,SF,20,195,120,0,16770,0,0,0,0,0,4192.5,0,4192.5
23,,0.00,,2.31,0.14,,61,67,82,77,Nancy Nursery,SF,20,195,120,0,15015,0,0,0,0,0,3753.75,0,3753.75
24,,0.00,,2.23,0.10,,58,64,83,63,Nancy Nursery,SF,20,195,120,0,12285,0,0,0,0,0,3071.25,0,3071.25
25,,0.00,,2.15,0.06,20,57,62,85,66,Nancy Nursery,SF,20,195,140,0,12870,0,0,0,0,390,3217.5,390,2827.5
26,,0.00,,2.08,0.03,,54,64,86,60,Nancy Nursery,SF,20,195,140,0,11700,0,0,0,0,0,2925,0,2925
27,,0.00,,2.00,0.00,,52,61,87,58,Nancy Nursery,SF,20,195,140,0,11310,0,0,0,0,0,2827.5,0,2827.5
28,,0.00,,1.92,-0.02,,51,58,88,55,Nancy Nursery,SF,20,195,140,0,10725,0,0,0,0,0,2681.25,0,2681.25
29,,0.00,,1.85,-0.04,20,49,55,88,46,Nancy Nursery,SF,20,195,160,0,8970,0,0,0,0,390,2242.5,390,1852.5
30,,0.00,,1.77,-0.05,,48,57,89,48,Nancy Nursery,SF,20,195,160,0,9360,0,0,0,0,0,2340,0,2340
31,,0.00,,1.69,-0.06,,47,53,89,48,Nancy Nursery,SF,20,195,160,0,9360,0,0,0,0,0,2340,0,2340
32,,0.00,,1.62,-0.06,,45,50,90,32,Nancy Nursery,SF,20,195,160,0,6240,0,0,0,0,0,1560,0,1560
33,,0.00,,1.54,-0.05,20,45,47,90,31,Nancy Nursery,SF,20,195,180,0,6045,0,0,0,0,390,1511.25,390,1121.25
34,,0.00,,1.46,-0.04,,45,48,90,33,Nancy Nursery,SF,20,195,180,0,6435,0,0,0,0,0,1608.75,0,1608.75
35,,0.00,,1.38,-0.02,,45,45,90,37,Nancy Nursery,SF,20,195,180,0,7215,0,0,0,0,0,1803.75,0,1803.75
36,,0.00,,1.31,0.00,,44,41,89,26,Nancy Nursery,SF,20,195,180,0,5070,0,0,0,0,0,1267.5,0,1267.5
37,,0.00,,1.23,0.03,20,44,37,89,22,Nancy Nursery,SF,20,195,200,0,4290,0,0,0,0,390,1072.5,390,682.5
38,,0.00,,1.15,0.07,,44,39,88,19,Nancy Nursery,SF,20,195,200,0,3705,0,0,0,0,0,926.25,0,926.25
39,,0.00,,1.08,0.11,,45,35,87,18,Nancy Nursery,SF,20,195,200,0,3510,0,0,0,0,0,877.5,0,877.5
40,,0.00,8,9.00,0.16,,45,32,86,13,Nancy Nursery,SF,20,195,200,0,2535,7800,1950,0,0,0,633.75,9750,-9116.25
41,,0.00,,8.92,0.22,20,52,31,84,17,Nancy Nursery,SF,20,195,220,0,3315,0,0,0,0,390,828.75,390,438.75
42,,0.00,,8.85,0.28,,58,36,83,21,Nancy Nursery,SF,20,195,220,0,4095,0,0,0,0,0,1023.75,0,1023.75
43,,0.00,,8.77,0.34,,64,35,81,23,Nancy Nursery,SF,20,195,220,0,4485,0,0,0,0,0,1121.25,0,1121.25
44,,0.00,,8.69,0.42,,70,35,78,27,Nancy Nursery,SF,20,208,220,13,5616,0,0,0,0,0,1404,0,1404
45,,0.00,,8.62,0.49,20,75,34,76,22,Nancy Nursery,SF,20,208,240,0,4576,0,0,0,0,416,1144,416,728
46,,0.00,,8.54,0.57,,81,39,73,32,Nancy Nursery,SF,20,208,240,0,6656,0,0,0,0,0,1664,0,1664
47,,0.00,,8.46,0.66,,86,39,70,30,Nancy Nursery,SF,20,208,240,0,6240,0,0,0,0,0,1560,0,1560
48,,0.00,,8.38,0.75,,91,38,67,35,Nancy Nursery,SF,20,208,240,0,7280,0,0,0,0,0,1820,0,1820
49,,0.00,,8.31,0.84,20,95,38,63,28,Nancy Nursery,SF,20,208,260,0,5824,0,0,0,0,416,1456,416,1040
50,,0.00,,8.23,0.93,,100,43,59,32,Nancy Nursery,SF,20,208,260,0,6656,0,0,0,0,0,1664,0,1664
51,,0.00,,8.15,1.03,,100,42,55,23,Nancy Nursery,SF,20,208,260,0,4784,0,0,0,0,0,1196,0,1196
52,,0.00,,8.08,1.13,,100,42,51,17,Nancy Nursery,SF,20,208,260,0,3536,0,0,0,0,0,884,0,884
1,0.5,0.5,4,4.00,0.01,5,75,75,60,64,Easygoing Estates,LA,16,0,5,0,0,0,0,0,0,0,0,0,0
2,,0.42,,3.85,-0.01,,84,75,50,49,Easygoing Estates,LA,16,30,5,30,1470,0,0,0,0,0,367.5,0,367.5
3,,0.35,,3.70,-0.02,5,93,74,52,44,Easygoing Estates,LA,16,40,10,10,1760,0,0,0,0,20,440,20,420
4,,0.27,,3.55,-0.03,,100,74,53,48,Easygoing Estates,LA,16,80,10,40,3840,0,0,0,0,0,960,0,960
5,,0.19,,3.40,-0.02,5,100,73,54,54,Easygoing Estates,LA,16,80,15,0,4320,0,0,0,0,40,1080,40,1040
6,,0.12,,3.25,-0.01,,100,73,55,56,Easygoing Estates,LA,16,100,15,20,5600,0,0,0,0,0,1400,0,1400
7,,0.04,,3.10,0.00,5,100,71,57,66,Easygoing Estates,LA,16,110,20,10,7260,0,0,0,0,55,1815,55,1760
8,,0.00,,2.95,0.02,,100,71,58,61,Easygoing Estates,LA,16,110,20,0,6710,0,0,0,0,0,1677.5,0,1677.5
9,,0.00,,2.80,0.04,5,100,69,60,65,Easygoing Estates,LA,16,110,25,0,7150,0,0,0,0,55,1787.5,55,1732.5
10,,0.00,,2.65,0.06,,99,69,61,68,Easygoing Estates,LA,16,110,25,0,7480,0,0,0,0,0,1870,0,1870
11,,0.00,,2.50,0.09,5,97,67,63,69,Easygoing Estates,LA,16,110,30,0,7590,0,0,0,0,55,1897.5,55,1842.5
12,,0.00,,2.35,0.11,,96,66,65,66,Easygoing Estates,LA,16,110,30,0,7260,0,0,0,0,0,1815,0,1815
13,,0.00,2,4.20,0.14,5,94,64,66,73,Easygoing Estates,LA,16,110,35,0,8030,1100,880,0,0,55,2007.5,2035,-27.5
14,0.5,0.50,,4.05,0.16,,94,64,68,67,Easygoing Estates,LA,16,110,35,0,7370,0,0,275,220,0,1842.5,495,1347.5
15,,0.42,,3.90,0.18,5,100,63,70,79,Easygoing Estates,LA,16,110,40,0,8690,0,0,0,0,55,2172.5,55,2117.5
16,,0.35,,3.75,0.21,,100,63,71,81,Easygoing Estates,LA,16,110,40,0,8910,0,0,0,0,0,2227.5,0,2227.5
17,,0.27,,3.60,0.23,5,100,61,73,79,Easygoing Estates,LA,16,110,45,0,8690,0,0,0,0,55,2172.5,55,2117.5
18,,0.19,,3.45,0.25,,100,61,75,78,Easygoing Estates,LA,16,110,45,0,8580,0,0,0,0,0,2145,0,2145
19,,0.12,,3.30,0.26,5,100,59,76,72,Easygoing Estates,LA,16,110,50,0,7920,0,0,0,0,55,1980,55,1925
20,,0.04,,3.15,0.27,,100,58,78,72,Easygoing Estates,LA,16,110,50,0,7920,0,0,0,0,0,1980,0,1980
21,,0.00,,3.00,0.28,5,100,56,79,70,Easygoing Estates,LA,16,110,55,0,7700,0,0,0,0,55,1925,55,1870
22,,0.00,,2.85,0.29,,99,55,81,70,Easygoing Estates,LA,16,131,55,21,9170,0,0,0,0,0,2292.5,0,2292.5
23,,0.00,,2.70,0.29,5,98,53,82,56,Easygoing Estates,LA,16,131,60,0,7336,0,0,0,0,65.5,1834,65.5,1768.5
24,,0.00,,2.55,0.29,,98,52,83,64,Easygoing Estates,LA,16,131,60,0,8384,0,0,0,0,0,2096,0,2096
25,,0.00,2,4.40,0.29,5,96,49,85,63,Easygoing Estates,LA,16,131,65,0,8253,1310,1048,0,0,65.5,2063.25,2423.5,-360.25
26,,0.00,,4.25,0.28,,98,49,86,59,Easygoing Estates,LA,16,131,65,0,7729,0,0,0,0,0,1932.25,0,1932.25
27,0.5,0.50,,4.10,0.27,5,100,48,87,52,Easygoing Estates,LA,16,131,70,0,6812,0,0,327.5,262,65.5,1703,655,1048
28,,0.42,,3.95,0.26,,100,47,88,43,Easygoing Estates,LA,16,131,70,0,5633,0,0,0,0,0,1408.25,0,1408.25
29,,0.35,,3.80,0.25,5,100,45,88,51,Easygoing Estates,LA,16,131,75,0,6681,0,0,0,0,65.5,1670.25,65.5,1604.75
30,,0.27,,3.65,0.23,,100,45,89,48,Easygoing Estates,LA,16,131,75,0,6288,0,0,0,0,0,1572,0,1572
31,,0.19,,3.50,0.21,5,100,43,89,37,Easygoing Estates,LA,16,131,80,0,4847,0,0,0,0,65.5,1211.75,65.5,1146.25
32,,0.12,,3.35,0.19,,100,42,90,38,Easygoing Estates,LA,16,131,80,0,4978,0,0,0,0,0,1244.5,0,1244.5
33,,0.04,,3.20,0.17,5,100,40,90,37,Easygoing Estates,LA,16,131,85,0,4847,0,0,0,0,65.5,1211.75,65.5,1146.25
34,,0.00,,3.05,0.15,,100,38,90,42,Easygoing Estates,LA,16,131,85,0,5502,0,0,0,0,0,1375.5,0,1375.5
35,,0.00,,2.90,0.12,5,100,36,90,33,Easygoing Estates,LA,16,131,90,0,4323,0,0,0,0,65.5,1080.75,65.5,1015.25
36,,0.00,,2.75,0.10,,100,35,89,21,Easygoing Estates,LA,16,131,90,0,2751,0,0,0,0,0,687.75,0,687.75
37,,0.00,,2.60,0.08,5,100,32,89,32,Easygoing Estates,LA,16,131,95,0,4192,0,0,0,0,65.5,1048,65.5,982.5
38,,0.00,2,4.45,0.07,,100,31,88,28,Easygoing Estates,LA,16,131,95,0,3668,1310,1048,0,0,0,917,2358,-1441
39,0.5,0.50,,4.30,0.05,5,100,29,87,27,Easygoing Estates,LA,16,131,100,0,3537,0,0,327.5,262,65.5,884.25,655,229.25
40,,0.42,,4.15,0.04,,100,29,86,30,Easygoing Estates,LA,16,131,100,0,3930,0,0,0,0,0,982.5,0,982.5
41,,0.35,,4.00,0.03,5,100,27,84,23,Easygoing Estates,LA,16,131,105,0,3013,0,0,0,0,65.5,753.25,65.5,687.75
42,,0.27,,3.85,0.03,,100,27,83,18,Easygoing Estates,LA,16,131,105,0,2358,0,0,0,0,0,589.5,0,589.5
43,,0.19,,3.70,0.04,5,100,25,81,17,Easygoing Estates,LA,16,131,110,0,2227,0,0,0,0,65.5,556.75,65.5,491.25
44,,0.12,,3.55,0.05,,100,25,78,16,Easygoing Estates,LA,16,131,110,0,2096,0,0,0,0,0,524,0,524
45,,0.04,,3.40,0.08,5,100,23,76,10,Easygoing Estates,LA,16,131,115,0,1310,0,0,0,0,65.5,327.5,65.5,262
46,,0.00,,3.25,0.11,,100,22,73,8,Easygoing Estates,LA,16,131,115,0,1048,0,0,0,0,0,262,0,262
47,,0.00,,3.10,0.15,5,100,20,70,15,Easygoing Estates,LA,16,131,120,0,1965,0,0,0,0,65.5,491.25,65.5,425.75
48,,0.00,,2.95,0.21,,100,20,67,17,Easygoing Estates,LA,16,131,120,0,2227,0,0,0,0,0,556.75,0,556.75
49,,0.00,,2.80,0.28,5,100,18,63,10,Easygoing Estates,LA,16,131,125,0,1310,0,0,0,0,65.5,327.5,65.5,262
50,,0.00,,2.65,0.36,,100,17,59,9,Easygoing Estates,LA,16,131,125,0,1179,0,0,0,0,0,294.75,0,294.75
51,,0.00,,2.50,0.47,5,100,15,55,4,Easygoing Estates,LA,16,131,130,0,524,0,0,0,0,65.5,131,65.5,65.5
52,,0.00,,2.35,0.59,,100,15,51,3,Easygoing Estates,LA,16,131,130,0,393,0,0,0,0,0,98.25,0,98.25
